study_accession,sample_accession,analysis_accession,generated_ftp,sample_title
PRJEB45963,SAMEA2205637,ERZ3166178,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166178/contig.fa.gz,11791_3#74
PRJEB45963,SAMEA2205638,ERZ3166179,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166179/contig.fa.gz,11679_5#82
PRJEB45963,SAMEA2205639,ERZ3166180,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166180/contig.fa.gz,11657_7#89
PRJEB45963,SAMEA2205640,ERZ3166181,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166181/contig.fa.gz,11791_3#75
PRJEB45963,SAMEA2205641,ERZ3166182,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166182/contig.fa.gz,11679_6#84
PRJEB45963,SAMEA2205643,ERZ3166183,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166183/contig.fa.gz,11657_6#90
PRJEB45963,SAMEA2205642,ERZ3166184,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166184/contig.fa.gz,11679_8#81
PRJEB45963,SAMEA2205645,ERZ3166185,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166185/contig.fa.gz,11791_3#76
PRJEB45963,SAMEA2205644,ERZ3166186,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166186/contig.fa.gz,11679_5#83
PRJEB45963,SAMEA2205648,ERZ3166190,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166190/contig.fa.gz,11679_8#82
PRJEB45963,SAMEA2205646,ERZ3166191,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166191/contig.fa.gz,11679_6#85
PRJEB45963,SAMEA2205653,ERZ3166193,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166193/contig.fa.gz,11791_3#78
PRJEB45963,SAMEA2205652,ERZ3166194,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166194/contig.fa.gz,11679_4#87
PRJEB45963,SAMEA2205651,ERZ3166195,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166195/contig.fa.gz,11791_3#77
PRJEB45963,SAMEA2205650,ERZ3166196,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166196/contig.fa.gz,11679_6#86
PRJEB45963,SAMEA2205654,ERZ3166197,ftp.sra.ebi.ac.uk/vol1/sequence/ERZ316/ERZ3166197/contig.fa.gz,11679_8#84
